disease	efo_iri
parkinson's disease (pd) (in heavy coffee drinkers)	EFO_0002508
childhood intelligence	EFO_0004337
"nicotine dependence (smoking), smoking cessation"	EFO_0004319
gout and other crystal arthropathies	EFO_0004274
infantile hypertrophic pyloric stenosis (male)	N/A
diabetes related insulin traits	EFO_0000400
"hemoglobin (hgb), platelet count (plt), mean cell volume (mcv), lymphocyte count, eosinophil count, hematocrit (hct)"	EFO_0005803
response to anti-retroviral therapy (ddi/d4t) in hiv-1 infection (grade 3 peripheral neuropathy)	N/A
cognitive response of healthy volunteers to topiramate treatment as measure by the immediate story recall cognitive test	EFO_0000000
"pure tone average (4.0,8.0 khz)"	N/A
drug-induced liver injury-all dili cases with age of onset less than or equal to the median of 57.5 years	EFO_0004228
sunburns	EFO_0003958
fetal hemoglobin levels	EFO_0004272
f cell levels	EFO_0004272
fat mass (%) in children	N/A
amino acid levels	N/A
exercise (leisure time)	N/A
cortisol secretion (cortisol auc in males)	N/A
diabetes (incident)	EFO_0000400
adverse response to chemotherapy (neutropenia/leucopenia) (all antimetabolite drugs)	EFO_0000000
plasma soluble leptin receptor (sob-r) levels	EFO_0000400
parent of origin effect on language impairment (child trend)	N/A
temperament (bipolar disorder)	EFO_0000289
urate levels (bmi interaction)	EFO_0004274
hdl cholesterol mean particle size	Orphanet_425
usual sleep duration (questionnaire)	N/A
breast cancer risk (excluding brca1 mutation carriers who developed ovarian cancer)	EFO_0000305
openness (male)	HP_0012075
anxiety in major depressive disorder	EFO_0003761
alpha power determined by eeg	N/A
positivity for znt8ra in type 1 diabetes	EFO_0001359
second to fourth digit length ratio	N/A
obesity with early age of onset (age >2)	N/A
white matter hyperintensity volume in cerebral autosomal-dominant arteriopathy with subcortical infarcts and leukoencephalopathy	HP_0002352
circulating galectin-3 levels	EFO_0006890
methylphenidate treatment response in attention deficit/hyperactivity disorder (adhd)	N/A
urinary albumin-to-creatinine ratio without hypertension	N/A
dialysis-related mortality	HP_0000083
callous-unemotional behaviour	HP_0012075
forced expiratory volume in 1 second (fev1)	EFO_0003818
immunoglobulin a	HP_0002720
conscientiousness (female)	HP_0012075
"stress incontinence, female"	N/A
bone area	N/A
emergence of suicidal ideation during treatment with antidepressants  (narrow definition - emergence from suicidal ideation absent at baseline)	EFO_0000000
cervical cancer	EFO_0001416
lung function (forced vital capacity)	EFO_0003818
lifetime average cigarettes per day in chronic obstructive pulmonary disease	EFO_0003768
serum creatinine estimated glomerular filtration rate (egfr) (males)	HP_0000083
displacement of intervertebral disc	EFO_0000000
fasting plasma total homocysteine (umol/l) in children	N/A
"mechanical complications of cardiac/vascular device, implant, and graft"	N/A
non-alcoholic fatty liver disease	EFO_0003095
nonalcoholic fatty liver disease (fibrosisyn)	EFO_0003095
serum ferritin	N/A
"breast conditions, congenital or relating to hormones"	N/A
"hip geometry, shaft section modulus, gender differentiated in females"	EFO_0003882
intelligence (childhood)	EFO_0004337
psoriasis (hla-c risk allele positive)	EFO_0000676
body mass index (age interaction)	EFO_0001073
tooth agenesis (maxillary third molar)	Orphanet_99797
"bronchial asthma, age of onset before age 16"	EFO_0000270
diffuse large b cell lymphoma	EFO_0001642
uterine fibroids	EFO_0000731
brachial artery flow-mediated dilation percent	EFO_0003914
amylin (pm) in children	N/A
bulimia nervosa	EFO_0005204
lung cancer in current smokers (number of cig/day >20)	EFO_0001071
knee osteoarthritis and/or hand osteoarthritis	EFO_1000786
total cholesterol (females)	HP_0003124
plasma palmitic acid	N/A
occlusion and stenosis of precerebral arteries	EFO_0003763
nonalcoholic fatty liver disease (ballontt)	EFO_0003095
congenital anomalies of the eye	N/A
peripheral arterial disease (pad)	EFO_0004265
breastfeeding duration	N/A
propylthiouracil (prop) solution taste intensity	N/A
multiple sclerosis severity scale (continuous)	EFO_0003885
methylation near brrn1 in cerebellum	GO_0006306
suicide attempts in bipolar disorder (substance free)	EFO_0004321
crohn's disease and celiac disease	EFO_0003767
serum dehydroepiandrosterone sulphate (dheas) (males)	N/A
parkinson's disease (familial)	EFO_0002508
decrease in fev1/fvc ratio (in nonasthmatic never smokers)	EFO_0003818
multiple myeloma and monoclonal gammopathy	EFO_0001378
serum phytosterol (brassicasterol)	N/A
hepatitis b virus (hbv)-related hepatocellular carcinoma	EFO_0000182
symbol search	EFO_0003925
spine bone mineral density (bmd) (females)	N/A
multiple sclerosis severity scale	EFO_0003885
adult obesity (body mass index (bmi))	EFO_0001073
information processing speed (simple reaction time)	EFO_0003925
dysuria	EFO_0003901
dizziness side effects in response to antidepressant treatment therapy with citalopram___	N/A
body mass index and cholesterol (psychopharmacological treatment)	EFO_0001073
body mass (lean)	N/A
lung function (forced expiratory flow between 25% and 75% of forced vital capacity)	EFO_0003818
bronchiectasis	HP_0002110
paraproteinemia	N/A
huntington's disease	Orphanet_399
childhood dental caries (low flouride group)	EFO_0003819
forced vital capacity	EFO_0003818
thionamide-induced agranulocytosis in graves' disease	EFO_0000000
plasma levels of midregional-proadrenomedullin and c-terminal-pro-endothelin-1	EFO_0004264
p wave duration	HP_0001649
helicobacter pylori serologic status	EFO_1000961
permanent tooth development	HP_0000706
"type 1 diabetes, rheumatoid arthritis, crohn's disease, combined case analysis"	EFO_0000540
waist circumference in type 2 diabetes	N/A
megaloblastic anemia	HP_0001889
drug-induced liver injury-all dili cases with isoniazid-containing drug regimens implicated	EFO_0004228
metabolite levels	N/A
cystic fibrosis lung disease severity	Orphanet_586
systemic lupus erythematosus and systemic sclerosis	EFO_0002690
neutrophil count in hiv-infection	HP_0001875
meningitis	EFO_0000584
recurrent early onset major depressive disorder (narrow definition)	EFO_0003761
aortic stiffness	EFO_0003914
aortic root size	EFO_0003777
survival in pancreatic cancer	N/A
alcohol dependence (females)	EFO_0003829
frontotemporal lobar degeneration with tdp-43 inclusions (grn mutation carriers)	EFO_0003096
decrease in fev1 (in nonasthmatic participants)	EFO_0003818
attention deficit hyperactivity disorder and conduct disorder	EFO_0003888
methylation near necap1 in cerebellum	GO_0006306
high levels of neurofibrillary tangles in non-demented elderly subjects	N/A
infestation	N/A
c0	N/A
eye color (5 category color classification)	EFO_0003949
depressive symptoms (ssri exposure interaction)	EFO_0003761
p system p1 antigen	EFO_0000513
heavy alcohol consumption	EFO_0004329
"poisoning by water, mineral, and uric acid metabolism drugs"	EFO_0000000
plasma fibrinogen	N/A
hepatitis c virus (hcv)-induced liver fibrosis	EFO_0003047
information processing speed (2-choice reaction time)	EFO_0003925
urinary free epinephrine (nmol/d) in children	N/A
response to platinum-based chemotherapy in small cell and non-small cell lung cancers	N/A
non-small cell lung cancer (recurrence rate)	EFO_0003060
adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel)	EFO_0000000
subcutaneous adipose tissue area (sat)	EFO_0001073
plasma high molecular weight adiponectin concentration (male)	EFO_0000589
cystic fibrosis severity	Orphanet_586
liver disease in chronic hepatitis b virus infection	EFO_0001421
drug-induced liver injury-all cholestatic dili cases not due to flucloxacillin or amoxicillin/clavulanate	EFO_0004228
"mean cell volume (mcv), mean cell hemoglobin (mch), hemoglobin (hgb), hematocrit (hct), mean cell hemoglobin concentration (mchc)"	EFO_0005803
large vessel stroke	EFO_0000712
hypertension	EFO_0000537
retinal venular caliber	EFO_1001156
adult asthma	EFO_0000270
normalized agkistrodon contortrix venom ratio in venous thrombosis	HP_0004936
hemorrhage or hematoma complicating a procedure	EFO_0000000
rheumatoid arthritis (ccp positive)	EFO_0000685
common carotid artery thickness (near walls)	EFO_0003781
retinal complications in type 1 diabetes (mild)	EFO_0003770
energy storage (kcal/d) in children	N/A
cannabis use (initiation)	EFO_0007191
visceral leishmaniasis	N/A
"rheumatoid arthritis, cyclic citrullinated peptide (ccp) negative"	EFO_0000685
corneal astigmatism (corneal cylinder power)	HP_0000539
vitamin b12	EFO_0000734
"macular degeneration, wet"	EFO_0001365
"autism spectrum disorder, attention deficit-hyperactivity disorder (adhd), bipolar disorder, major depressive disorder, and schizophrenia"	EFO_0003758
breast cancer early age of onset (diagnosed before age 40)	EFO_0000305
aplastic anemia	HP_0001915
memory performance	N/A
lead levels in blood	N/A
diastolic blood pressure (mean 24-hour excluding subjects on antihypertensive treatment)	EFO_0000537
nonspecific findings on examination of blood	N/A
colorword	EFO_0003925
age-related cataracts (age at onset)	EFO_0001059
essential hypertension	EFO_0000537
"established obesity, drive for thinness"	N/A
whole-brain volume (alzheimer's disease interaction)	N/A
cellulitis and abscess of foot/toes	EFO_0003035
internal carotid artery thickness (near walls)	EFO_0003781
fasting serum ldl cholesterol (mg/dl) in children	N/A
"coronary heart disease including myocardial infarction (mi), coronary insufficiency, chd death"	EFO_0001645
bone cancer	EFO_0003820
biomarkers	N/A
bone mineral content (g)	N/A
very long-chain saturated fatty acid levels (fatty acid 20:0)	N/A
circulating folate concentration (ng/ml)	EFO_0001070
substance dependence in women	EFO_0003890
hip bone mineral density (bmd) (males)	N/A
height (adult females)	EFO_0004339
current cigarettes per day in chronic obstructive pulmonary disease	EFO_0003768
fvii	Orphanet_327
common variable immunodeficiency (bronchiectasis)	Orphanet_1572
esophageal squamous-cell carcinoma in nonsmokers (esophageal cancer)	EFO_1000055
body mass index (bmi) (max measurement)	EFO_0001073
mean arterial pressure	EFO_0000537
blood eosinophil count	HP_0001880
oppositional defiant disorder in attention-deficit hyperactivity disorder	N/A
multiple system atrophy	EFO_1001050
hiv-1-specific cross-reactive neutralizing activity	EFO_0000765
thrombin generation potential phenotypes	Orphanet_325
ovarian cancer (brca2-carriers)	EFO_0001075
osteoarthrosis	EFO_0002506
knee osteoarthritis	EFO_0004616
cardioembolic stroke (ischemic stroke) early age of onset	EFO_0000712
soluble interleukin-2 receptor subunit alpha	N/A
ratio of homovanillic acid to 3-methoxy-4-hydroxyphenylglycol in cerebrospinal fluid (csf)	EFO_0000618
left ventricular mass (lv mass)	EFO_0003896
type 2 diabetic retinopathy	EFO_0003770
severe diabetic retinopathy in type 1 diabetes	EFO_0003770
birth weight and log[homa-b]	EFO_0004344
successful aging versus ceph	EFO_0003925
"rheumatoid arthritis, cyclic citrullinated peptide (ccp) positive"	EFO_0000685
hdl cholesterol in genotype 1 chronic hepatitis c virus  (hcv)	N/A
ldl cholesterol (female)	HP_0003124
attention deficit hyperactivity disorder (inattention symptoms)	EFO_0003888
morbidity-free survival at age 65	N/A
birth weight and fasting glucose	EFO_0004344
glycemic traits (pregnancy)	HP_0009800
insulin-like growth factor bp-3	EFO_0001073
sleep respiratory quotient (rq) in children	N/A
decrease in fev1/fvc ratio (in nonasthmatic and asthmatic participants)	EFO_0003818
alcohol behavior (heaviest period drinks per drinking day)	EFO_0004329
pc4 - femoral shaft stability (female)	EFO_0003882
alcohol behavior (heaviest period weekly alcohol consumption)	EFO_0003829
platelet aggregation in response to epinephrine 1um/2um	N/A
metabolic side effects to antipsychotic drugs (clozapine effect on total cholesterol)	N/A
common variable immunodeficiency (young age of symptom onset)	Orphanet_1572
hdl cholesterol at age 14	Orphanet_425
protein c levels	N/A
autism spectrum disorders	EFO_0003758
global cognitive decline	N/A
suicidal ideation	EFO_0004320
circulating estradiol levels in non-postmenopausal hormone users	EFO_0001379
lean body mass and age at menarche (combined)	EFO_0001073
sarcoidosis	Orphanet_797
large artery stroke	EFO_0000712
childhood dental caries	EFO_0003819
fasting insulin in low bmi subjects	N/A
serum brain derived neurotrophic factor concentration	N/A
plasma palmitoleic acid	N/A
"beta-thalassemia/hemoglobin e disease (fetal hemoglobin (hb), %)"	Orphanet_848
hdl cholesterol small lipoprotein fraction concentration in fasting sample	N/A
pulmonary function decline	EFO_0003818
electrocardiographic traits	HP_0001649
type 2 diabetes early age of onset	EFO_0001360
ar-c124910xx levels in individuals with acute coronary syndromes treated with ticagrelor	EFO_0000000
hdl cholesterol lipoprotein fraction concentration in fasting sample	N/A
glioma (high-grade glioma)	EFO_0000326
brain volume (males)	N/A
obesity class	EFO_0001073
myopia (severe)	N/A
narcolepsy	EFO_0000614
aspartate aminotransferase (ast) (in children)	N/A
fviii in plasma	Orphanet_98878
hematocrit (hct)	N/A
citalopram-induced side effects	EFO_0000000
"attention deficit/hyperactivity disorder (adhd), hyperactive-impulsive symptoms (fbat-pc)"	EFO_0003888
asymmetrical dimethylarginine levels	EFO_0000319
hiv-1 rapid disease progression	EFO_0000765
plasma renin activity	EFO_0000537
gouty arthropathy	EFO_0004274
iron status biomarkers	N/A
pulse pressure	EFO_0000537
methylation near tekt1 in cerebellum	GO_0006306
muscle/tendon sprain	N/A
lymphocyte levels (natural killer cell levels)	HP_0100827
t2 lesion load (multiple sclerosis)	EFO_0003885
cytokine-stimulated il-6 production	N/A
preschool internalizing problems	N/A
ifn-related cytopenia	EFO_0000000
alcohol consumption (drinkers only - female)	EFO_0004329
alcohol consumption (drinkers only - male)	EFO_0004329
optic disc parameters	EFO_0003839
"cardiovascular disease including myocardial infarction (mi), coronary insufficiency, chd death, atherothrombotic stroke"	EFO_0000319
type 2 diabetes with or without end stage renal disease (females)	EFO_0001360
hematological parameters	EFO_0005803
obesity in type 2 diabetes (body mass index (bmi))	EFO_0001073
factor viii levels	Orphanet_98878
plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)	N/A
liver enzyme levels (alkaline phosphatase)	EFO_0001421
socioeconomic factors	N/A
5-fluorouracil and oxaliplatin combined induced haematologic in response to colorectal cancer treatment	EFO_0000000
antineutrophil cytoplasmic antibody (anca)-associated vasculitis (proteinase 3 vs control)	N/A
coronary artery disease or large artery stroke	EFO_0000378
body mass index (bmi) in type 2 diabetes with end stage renal disease subjects	EFO_0001073
pc ae c38:1/pc aa c28:1  concentration	N/A
